id express priority volume weight reward duration
0 0 0 17 23 1214 336
1 0 0 4 12 1827 678
2 0 0 6 26 1767 501
3 0 0 13 8 1202 739
4 0 0 15 27 1372 1100
5 0 0 9 20 501 281
6 0 0 7 4 961 185
7 0 0 26 28 479 784
8 0 0 26 25 869 778
9 0 0 5 7 348 403
10 0 0 20 17 1555 531
11 0 0 26 12 1961 698
12 0 0 26 21 740 358
13 0 0 11 17 494 811
14 0 0 19 19 548 224
15 0 0 8 18 1985 666
16 0 0 9 14 1915 944
17 0 0 14 8 1951 394
18 0 0 6 14 272 473
19 0 0 11 7 397 844
20 1 0 15 17 772 682
21 0 0 22 26 1759 384
22 0 0 28 12 1237 425
23 0 0 3 4 1617 302
24 0 0 4 8 1174 495
25 0 0 29 25 1218 492
26 0 0 18 23 249 1003
27 0 0 20 20 970 121
28 0 0 4 20 1149 378
29 0 0 16 15 953 487
30 0 0 15 13 1277 984
31 0 0 23 7 458 865
32 1 0 21 23 1824 631
33 1 0 22 15 1149 1093
34 0 0 16 6 224 452
35 0 0 21 20 584 409
36 0 0 19 29 1097 154
37 0 0 5 10 1054 244
38 0 0 5 6 1701 250
39 0 0 19 17 1426 1038
40 0 0 11 5 1704 943
41 0 0 15 14 650 345
42 0 0 18 10 1835 312
43 0 0 3 15 1483 1070
44 0 0 29 17 525 183
45 0 0 24 15 1381 998
46 0 0 21 9 1249 564
47 0 0 12 24 1553 771
48 0 0 19 28 1432 780
49 1 0 7 13 429 312
50 0 0 18 9 1141 824
51 0 0 8 17 247 327
52 0 0 23 29 1377 783
53 0 0 23 3 372 319
54 1 0 22 23 1603 976
55 0 0 5 25 1930 529
56 1 0 23 29 1479 902
57 0 0 14 26 547 258
58 0 0 9 24 687 815
59 0 0 10 4 328 221
60 0 0 11 27 1991 961
61 0 0 23 7 1810 478
62 0 0 25 29 1716 100
63 0 0 19 28 1119 896
64 0 0 17 21 776 1034
65 0 0 27 19 680 465
66 1 0 13 21 881 265
67 0 0 7 5 905 903
68 0 0 3 27 1059 420
69 1 0 14 20 1341 948
70 1 0 20 9 1831 669
71 0 0 18 29 1189 205
72 0 0 23 20 811 417
73 0 0 9 18 1167 161
74 0 0 5 14 546 821
75 0 0 27 21 1727 378
76 0 0 22 10 323 459
77 0 0 7 24 1902 624
78 0 0 25 19 1794 826
79 0 0 6 19 659 866
80 0 0 7 7 1550 752
81 0 0 5 13 1024 800
82 1 0 25 10 753 461
83 0 0 13 5 1479 1088
84 0 0 14 6 1052 232
85 0 0 22 10 1564 207
86 0 0 29 25 475 669
87 0 0 16 17 1319 672
88 1 0 9 24 980 1071
89 0 0 10 8 319 456
90 0 0 19 25 1273 520
91 0 0 19 24 1688 265
92 0 0 10 17 1857 474
93 0 0 25 15 1982 263
94 0 0 6 20 1266 403
95 0 0 8 23 1337 471
96 0 0 23 5 1095 648
97 0 0 21 17 1893 512
98 0 0 14 14 280 993
99 0 0 16 26 1918 652
100 0 0 25 22 766 526
101 1 0 22 27 384 473
102 0 0 17 26 1171 491
