id express priority volume weight reward duration
0 0 0 10 15 961 968
1 0 0 9 10 723 429
2 0 0 17 12 1664 122
3 0 0 24 20 1309 546
4 1 0 26 19 1163 165
5 0 0 11 8 255 883
6 0 0 18 3 688 278
7 0 0 3 15 1645 1091
8 0 0 14 22 1547 298
9 0 0 9 20 1841 167
10 0 0 22 24 1316 1078
11 0 0 27 8 501 544
12 0 0 8 27 1070 1051
13 0 0 10 10 1748 453
14 0 0 5 4 1904 781
15 0 0 20 6 1815 632
16 0 0 25 16 1524 178
17 1 0 24 6 1462 937
18 0 0 22 14 455 382
19 0 0 5 4 1390 592
20 0 0 22 17 501 618
21 1 0 19 9 955 154
22 0 0 5 23 1064 442
23 0 0 25 28 1952 299
24 0 0 22 8 1930 1010
25 0 0 25 22 1476 424
26 0 0 29 11 767 589
27 0 0 13 10 1384 844
28 0 0 10 21 1085 431
29 0 0 18 27 772 533
30 0 0 3 7 811 628
31 0 0 6 17 1931 241
32 0 0 11 16 211 757
33 0 0 19 29 1877 617
34 0 0 10 23 812 631
35 0 0 20 15 1426 903
36 0 0 23 28 1987 897
37 1 0 26 19 1445 987
38 0 0 26 13 1402 920
39 0 0 25 13 1966 980
40 1 0 28 18 241 403
41 0 0 26 21 980 992
42 0 0 16 5 481 994
43 0 0 18 14 321 642
44 1 0 26 21 1414 542
45 0 0 18 17 374 885
46 0 0 22 28 1392 1014
47 0 0 17 7 1628 482
48 0 0 22 8 1112 1067
49 0 0 29 29 1323 211
50 0 0 18 15 759 906
51 0 0 11 14 1961 873
52 0 0 22 15 1454 590
53 1 0 29 24 374 570
54 0 0 19 11 1580 259
55 0 0 11 12 789 738
56 0 0 6 9 1046 572
57 0 0 29 23 638 1002
58 0 0 28 3 512 654
59 0 0 23 24 386 798
60 0 0 8 26 1204 410
61 0 0 5 7 1410 418
62 1 0 17 23 1282 328
63 0 0 15 28 1431 935
64 0 0 7 13 779 111
65 0 0 14 20 754 981
66 0 0 5 5 1146 542
67 0 0 15 19 1212 141
68 0 0 12 23 1675 932
69 0 0 10 19 1242 287
70 0 0 20 10 933 931
71 0 0 26 16 872 309
72 0 0 9 7 565 488
73 0 0 3 29 692 675
74 0 0 24 20 292 384
75 0 0 13 3 452 1054
76 0 0 14 20 1399 547
77 0 0 3 6 1333 602
78 0 0 6 8 1001 348
79 0 0 11 25 1981 760
80 0 0 28 18 903 601
81 0 0 10 4 836 860
82 0 0 24 20 1796 418
83 0 0 5 17 985 575
84 0 0 26 23 280 237
85 0 0 16 15 575 106
86 0 0 11 11 1519 704
87 0 0 19 6 1961 1058
88 1 0 15 13 1278 117
89 0 0 7 16 493 595
90 0 0 18 8 1897 1020
91 0 0 17 26 1252 223
92 0 0 23 5 702 560
93 0 0 26 9 822 928
94 0 0 3 25 1167 197
95 0 0 11 17 525 145
96 0 0 15 4 621 470
97 1 0 21 14 1323 297
98 1 0 19 9 491 655
99 0 0 12 8 1778 255
100 0 0 8 5 250 660
101 0 0 27 4 1684 713
102 0 0 8 13 797 579
103 0 0 18 7 1418 282
104 0 0 14 8 1083 1034
105 0 0 11 7 749 738
106 0 0 12 23 933 501
107 0 0 17 4 525 204
108 0 0 28 16 1934 210
109 0 0 18 3 1370 740
110 0 0 7 24 784 1030
111 0 0 15 27 956 889
112 0 0 20 15 1285 393
113 0 0 28 26 1574 843
114 0 0 10 29 1958 1083
115 0 0 25 23 462 522
116 0 0 27 19 1107 677
